372.1,345.9,407.8,219.1,221.1,236.6,1378.8,1382.3,1556.7,781.8,759.2,831.3,3026.9,3270.9,4479,4458,4321.5,4909.9,12653.5,12326.9,17618,13844.8,13628.1,18334.2
340.9,363.6,390.5,223.2,226.8,242.5,1374.1,1393.9,1511.5,787.9,763.5,846.3,3125.4,3317.1,3915.6,4155.7,4249.9,4783.8,12253.7,12121.8,16056,13729.5,13304.3,17848.7
361.4,347,383.8,224,228.3,243.3,1381.7,1387.7,1590,789.7,770.8,850.2,3197.7,2824.1,3916.2,4106.3,4103.1,4601,12510.9,12765.1,17698.1,13449.2,13193.9,17662.3
347.4,333.3,385.7,228.5,232.2,247.8,1413.4,1436.4,1541.4,791.3,785.4,863.9,3131,3298.4,3921.7,4100.3,4071.4,4600.4,12541.3,13826.1,17523.5,13371,13138.9,17308.9
353,373.7,391,235.6,241.8,249.2,1395.1,1400.9,1540.9,792.1,801.6,867.8,3408.1,3229.1,4218.1,4065.5,4045.1,4562.3,12762.2,12941,17079.7,13366.2,13008.3,17260.6
361.5,332.9,348.4,241.3,243.2,251.7,1403.7,1364.3,1566.9,792.8,802.1,870.3,3073.2,2938.7,3963.3,3957.5,4024.9,4561.8,12996,12324.6,17669.4,13349.3,12951.9,17160.1
352,377.2,388.5,245.9,246.8,258.8,1378.5,1432.2,1570.6,793.5,804.7,871.1,3078.2,3196.5,3930,3901.2,3936.4,4504.2,12475.6,13861.7,17808.6,13296.7,12760.3,17131.4
365.8,345.7,370.1,246.5,248.4,260.7,1430.6,1374.3,1560.3,799.3,806.5,876.3,3483.3,3261.2,3624,3895.6,3919.5,4491.3,12651.2,12406.6,17402,13184.9,12382.1,16793.1
323.1,359.3,387.3,247,251.2,266.4,1370.3,1373.7,1521.5,805.9,807.7,880.6,3109.3,2861,3775.4,3875.5,3914.6,4449.2,13494.3,11986.8,18015.8,13105.7,12218.5,16432
370.4,383,367.4,259.7,272.8,270.4,1433,1417.1,1544.8,809.5,809.1,875.2,2886.6,3458.2,3736.4,3748.2,3773.2,4328.9,13212.6,14053.3,17425.1,13072.5,11716.3,16301.4
